Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,AFG,GDP (current US$),3521418060,2813571754,3825701439,4520946819,5224896719,6203256539,6971758282,9747886187,10109297048,12416152732,15856668556,17805098206,19907329778,20146416758,20497128556,19134221645,18116572395,18753456498,18053222687,18799444490,19955929052,14259995441,14497243872,17152234637,
Albania,ALB,GDP (current US$),3584570165,4059064033,4515003117,5801712040,7406645793,8256658250,9150528132,11116937870,13258506375,12335540656,12086545641,12973755875,12246499748,12796985886,13296322588,11470171827,11988668785,13258268436,15379508330,15585111614,15241455556,18032009220,19017244117,23547180412,27177735528
Algeria,DZA,GDP (current US$),54790398570,59413400924,61516103406,73482264191,91913680985,107046618670,123084258693,142482739810,180383848331,150317292079,177785053940,218331946925,227143746076,229701430292,238942664193,187493855609,180763839522,189880896903,194554483656,193459662091,164873415325,186231205262,225638456572,247626161016,263619794507
American Samoa,ASM,GDP (current US$),,,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,,
Andorra,AND,GDP (current US$),1432606189,1548265808,1764279824,2366941809,2900245324,3161084091,3459337987,3957625367,4102319399,3688976341,3449925739,3629133574,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3324647529,3380612573,3785067332,4039844390
Angola,AGO,GDP (current US$),9129594970,8936079118,15285592370,17812704586,23552057679,36970900884,52381025141,65266415494,88538665085,70307196182,83799474070,111789747671,128052915766,132339109040,135966802587,90496420507,52761617226,73690154991,79450688259,70897962732,48501561204,66505129988,104399746853,84875162197,80396942242
Antigua and Barbuda,ATG,GDP (current US$),901003703.7,877774074.1,898092592.6,948100000,1026329630,1143896296,1303674074,1487381481,1557640741,1386518519,1298348148,1287359259,1364729630,1325496296,1378707407,1437485185,1489603704,1534855556,1661529630,1726448148,1411637037,1602125926,1866566667,2005785185,2224814815
Argentina,ARG,GDP (current US$),284203750000,268696750000,97724004252,127586973492,164657930453,198737095012,232557260817,287530508431,361558037110,332976484578,423627422092,530158122010,545982375701,552025140252,526319673732,594749285413,557532320663,643628393281,524819892360,447754683615,385740508437,486564085480,632790070063,646075277525,633266692534
Armenia,ARM,GDP (current US$),1911563669,2118467913,2376335048,2807061009,3576615240,4900469511,6384452067,9206301270,11662040714,8647937081,9260285756,10142111825,10619320683,11121464437,11609513247,10553337518,10546136236,11527458709,12457940695,13619290539,12641698583,13878908629,19513506553,24085749592,25786585950
Aruba,ABW,GDP (current US$),1873452514,1896456983,1961843575,2044111732,2254830726,2360017318,2469782682,2677641341,2843024581,2553793296,2453597207,2637859218,2615208380,2727849721,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2481857123,2929446578,3279343544,3648573136,
Australia,AUS,GDP (current US$),416167815093,379629301675,395788696012,467739079790,614659980083,695692898677,748417562770,855007458585,1056112427190,928762122698,1148838233481,1398610616773,1547532281116,1577123329411,1468265356428,1351296372254,1206836962282,1325582658157,1427809041019,1392723834563,1328414058378,1556735770437,1690858246994,1728057316696,1752193307380
Austria,AUT,GDP (current US$),196181599831,196477206829,212837224023,260779834340,299210411455,313952317331,333905979332,386760177589,429234399096,399290118782,389827789218,428954737064,406750487604,426580502769,438556021078,379546097301,393687359770,414926138133,452582294973,442983642372,434397601558,480467037339,471773629830,511685203845,521642466922
Azerbaijan,AZE,GDP (current US$),5272615723,5707616204,6236087738,7276413079,8680405741,13245421881,20981929498,33049419431,48851293785,44292427185,52909294792,65952796428,69679944504,74160560124,75239785452,53076235355,37866996883,40866627352,47112470052,48174235294,42693000000,54825411765,78807470588,72428470588,74315882353
